Wall time,Step,Value
1566290985.437579,212,56.403472900390625
1566291151.6062386,424,61.336891174316406
1566291310.7998238,636,59.92618942260742
1566291479.619912,848,65.77892303466797
1566291642.1926641,1060,65.48263549804688
1566291805.8225505,1272,67.2734603881836
1566291985.7957523,1484,68.5896224975586
1566292147.195869,1696,68.135498046875
1566292315.6292946,1908,69.42118835449219
1566292477.6524832,2120,69.39277648925781
1566292643.7385116,2332,70.64547729492188
1566292802.212815,2544,70.39925384521484
1566292964.35304,2756,70.3707046508789
1566293125.1081686,2968,70.69722747802734
1566293284.1520402,3180,70.64031982421875
1566293444.9468353,3392,70.185791015625
1566293602.6171172,3604,70.96359252929688
1566293762.2732012,3816,71.56324005126953
1566293922.2189896,4028,71.69300842285156
1566294080.6691053,4240,71.63799285888672
1566294238.932883,4452,71.90031433105469
1566294398.030477,4664,71.71483612060547
1566294555.5698414,4876,71.9566650390625
1566294715.2741382,5088,72.16728973388672
1566294874.7525527,5300,72.14788818359375
1566295034.4651337,5512,71.82734680175781
1566295198.5529115,5724,72.30152893066406
1566295374.588341,5936,72.1797866821289
1566295537.3075612,6148,72.41817474365234
1566295704.2094345,6360,72.40887451171875
1566295867.4318354,6572,72.57699584960938
1566296048.415192,6784,72.52104949951172
1566296214.1069798,6996,72.56105041503906
1566296383.36953,7208,72.66304016113281
1566296554.0954103,7420,72.61561584472656
1566296727.8589287,7632,72.74516296386719
1566296894.2365842,7844,72.6832046508789
1566296995.1012337,7950,72.77153778076172
